Año,Mes,Estacion,Localidad,Fuente,Cobertura_Temp,Cobertura_HR,Cobertura_Viento,Cobertura_Presion,Cobertura_Precip,dias_esperados,n_Temp,n_HR,n_Viento,n_Presion,n_Precip
2020,11,Carvajal - Sevillana,Tunjuelito,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,11,Centro de Alto Rendimiento,Barrios Unidos,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,11,Ciudad Bolivar,Ciudad Bolívar,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,11,Colina,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,11,Fontibon,Fontibón,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,11,Guaymaral,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,11,Kennedy,Kennedy,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,11,Las Ferias,Engativá,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,11,MinAmbiente,Teusaquillo,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,11,Movil Fontibon,Fontibón,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,11,Puente Aranda,Puente Aranda,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,11,SUBA,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,11,San Cristobal,San Cristóbal,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,11,Suba,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,11,Tunal,Tunjuelito,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,11,Usaquen,Usaquén,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,12,Bolivia,Engativá,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,12,Carvajal - Sevillana,Tunjuelito,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
