cell_id,year,endpoint_code,age_group,incidence_rate,count_basis_citywide_2026,population_basis_citywide_2026,incidence_source,incidence_method
461,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
462,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
463,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
464,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
465,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
466,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
467,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
468,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
469,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
470,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
471,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
472,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
473,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
474,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
475,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
476,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
477,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
478,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
479,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
480,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
481,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
482,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
483,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
484,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
485,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
486,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
487,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
488,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
